MMHT2014nnlo68cl	1.000 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
1.000000E-04	3.867147E+01	2.078123E+01	3.867147E-03	2.078123E-03
1.009253E-04	3.857292E+01	2.068745E+01	3.892983E-03	2.087887E-03
1.018591E-04	3.847303E+01	2.059381E+01	3.918830E-03	2.097668E-03
1.028016E-04	3.837188E+01	2.050031E+01	3.944692E-03	2.107465E-03
1.037528E-04	3.826953E+01	2.040695E+01	3.970573E-03	2.117279E-03
1.047129E-04	3.816606E+01	2.031374E+01	3.996477E-03	2.127109E-03
1.056818E-04	3.806153E+01	2.022069E+01	4.022409E-03	2.136957E-03
1.066596E-04	3.795599E+01	2.012780E+01	4.048372E-03	2.146823E-03
1.076465E-04	3.784953E+01	2.003507E+01	4.074370E-03	2.156706E-03
1.086426E-04	3.774218E+01	1.994253E+01	4.100408E-03	2.166607E-03
1.096478E-04	3.763403E+01	1.985016E+01	4.126489E-03	2.176526E-03
1.106624E-04	3.752511E+01	1.975797E+01	4.152618E-03	2.186464E-03
1.116863E-04	3.741549E+01	1.966598E+01	4.178798E-03	2.196421E-03
1.127197E-04	3.730522E+01	1.957417E+01	4.205035E-03	2.206396E-03
1.137627E-04	3.719435E+01	1.948257E+01	4.231331E-03	2.216391E-03
1.148154E-04	3.708294E+01	1.939117E+01	4.257691E-03	2.226405E-03
1.158777E-04	3.697103E+01	1.929998E+01	4.284119E-03	2.236438E-03
1.169499E-04	3.685867E+01	1.920901E+01	4.310619E-03	2.246492E-03
1.180321E-04	3.674591E+01	1.911825E+01	4.337195E-03	2.256566E-03
1.191242E-04	3.663279E+01	1.902771E+01	4.363851E-03	2.266661E-03
1.202264E-04	3.651935E+01	1.893740E+01	4.390592E-03	2.276776E-03
1.213389E-04	3.640565E+01	1.884732E+01	4.417421E-03	2.286912E-03
1.224616E-04	3.629172E+01	1.875747E+01	4.444342E-03	2.297070E-03
1.235947E-04	3.617759E+01	1.866786E+01	4.471360E-03	2.307249E-03
1.247384E-04	3.606332E+01	1.857849E+01	4.498479E-03	2.317450E-03
1.258925E-04	3.594893E+01	1.848937E+01	4.525702E-03	2.327673E-03
1.270574E-04	3.583446E+01	1.840049E+01	4.553033E-03	2.337919E-03
1.282331E-04	3.571995E+01	1.831187E+01	4.580478E-03	2.348187E-03
1.294196E-04	3.560542E+01	1.822350E+01	4.608039E-03	2.358478E-03
1.306171E-04	3.549093E+01	1.813539E+01	4.635721E-03	2.368792E-03
1.318257E-04	3.537648E+01	1.804755E+01	4.663529E-03	2.379130E-03
1.330454E-04	3.526212E+01	1.795997E+01	4.691465E-03	2.389492E-03
1.342765E-04	3.514788E+01	1.787265E+01	4.719534E-03	2.399877E-03
1.355189E-04	3.503378E+01	1.778561E+01	4.747741E-03	2.410287E-03
1.367729E-04	3.491985E+01	1.769884E+01	4.776089E-03	2.420721E-03
1.380384E-04	3.480612E+01	1.761235E+01	4.804582E-03	2.431181E-03
1.393157E-04	3.469261E+01	1.752614E+01	4.833225E-03	2.441665E-03
1.406048E-04	3.457935E+01	1.744020E+01	4.862021E-03	2.452175E-03
1.419058E-04	3.446636E+01	1.735456E+01	4.890975E-03	2.462711E-03
1.432188E-04	3.435366E+01	1.726919E+01	4.920090E-03	2.473273E-03
1.445440E-04	3.424128E+01	1.718412E+01	4.949371E-03	2.483861E-03
1.458814E-04	3.412924E+01	1.709934E+01	4.978822E-03	2.494476E-03
1.472313E-04	3.401755E+01	1.701485E+01	5.008447E-03	2.505118E-03
1.485936E-04	3.390625E+01	1.693066E+01	5.038250E-03	2.515787E-03
1.499685E-04	3.379533E+01	1.684676E+01	5.068235E-03	2.526483E-03
1.513561E-04	3.368483E+01	1.676316E+01	5.098405E-03	2.537207E-03
1.527566E-04	3.357476E+01	1.667987E+01	5.128766E-03	2.547960E-03
1.541700E-04	3.346514E+01	1.659687E+01	5.159321E-03	2.558741E-03
1.555966E-04	3.335597E+01	1.651418E+01	5.190075E-03	2.569550E-03
1.570363E-04	3.324729E+01	1.643180E+01	5.221031E-03	2.580389E-03
1.584893E-04	3.313910E+01	1.634972E+01	5.252193E-03	2.591257E-03
1.599558E-04	3.303141E+01	1.626796E+01	5.283566E-03	2.602154E-03
1.614359E-04	3.292424E+01	1.618650E+01	5.315153E-03	2.613082E-03
1.629296E-04	3.281760E+01	1.610536E+01	5.346959E-03	2.624039E-03
1.644372E-04	3.271151E+01	1.602453E+01	5.378988E-03	2.635028E-03
1.659587E-04	3.260597E+01	1.594401E+01	5.411243E-03	2.646047E-03
1.674943E-04	3.250099E+01	1.586381E+01	5.443730E-03	2.657097E-03
1.690441E-04	3.239658E+01	1.578392E+01	5.476451E-03	2.668179E-03
1.706082E-04	3.229276E+01	1.570436E+01	5.509412E-03	2.679293E-03
1.721869E-04	3.218954E+01	1.562511E+01	5.542615E-03	2.690439E-03
1.737801E-04	3.208691E+01	1.554619E+01	5.576066E-03	2.701618E-03
1.753881E-04	3.198489E+01	1.546758E+01	5.609768E-03	2.712829E-03
1.770109E-04	3.188349E+01	1.538930E+01	5.643725E-03	2.724073E-03
1.786488E-04	3.178271E+01	1.531134E+01	5.677942E-03	2.735351E-03
1.803018E-04	3.168256E+01	1.523370E+01	5.712422E-03	2.746663E-03
1.819701E-04	3.158304E+01	1.515639E+01	5.747169E-03	2.758009E-03
1.836538E-04	3.148417E+01	1.507940E+01	5.782189E-03	2.769389E-03
1.853532E-04	3.138594E+01	1.500274E+01	5.817483E-03	2.780805E-03
1.870682E-04	3.128836E+01	1.492640E+01	5.853058E-03	2.792255E-03
1.887991E-04	3.119144E+01	1.485039E+01	5.888916E-03	2.803741E-03
1.905461E-04	3.109517E+01	1.477471E+01	5.925063E-03	2.815263E-03
1.923092E-04	3.099957E+01	1.469935E+01	5.961501E-03	2.826820E-03
1.940886E-04	3.090463E+01	1.462433E+01	5.998236E-03	2.838415E-03
1.958845E-04	3.081036E+01	1.454963E+01	6.035270E-03	2.850046E-03
1.976970E-04	3.071675E+01	1.447526E+01	6.072609E-03	2.861715E-03
1.995262E-04	3.062382E+01	1.440122E+01	6.110256E-03	2.873421E-03
2.013724E-04	3.053140E+01	1.432752E+01	6.148183E-03	2.885168E-03
2.032357E-04	3.043910E+01	1.425419E+01	6.186311E-03	2.896960E-03
2.051162E-04	3.034689E+01	1.418122E+01	6.224639E-03	2.908798E-03
2.070141E-04	3.025477E+01	1.410861E+01	6.263165E-03	2.920681E-03
2.089296E-04	3.016275E+01	1.403635E+01	6.301891E-03	2.932609E-03
