Q0 = 1.087 GeV	 Q = 3.160 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	6.063E-03	-6.063E-03	1.213E-02
1.009E-04	6.091E-03	-6.091E-03	1.218E-02
1.019E-04	6.119E-03	-6.119E-03	1.224E-02
1.028E-04	6.147E-03	-6.147E-03	1.229E-02
1.038E-04	6.175E-03	-6.175E-03	1.235E-02
1.047E-04	6.204E-03	-6.204E-03	1.241E-02
1.057E-04	6.232E-03	-6.232E-03	1.246E-02
1.067E-04	6.261E-03	-6.261E-03	1.252E-02
1.076E-04	6.290E-03	-6.290E-03	1.258E-02
1.086E-04	6.319E-03	-6.319E-03	1.264E-02
1.096E-04	6.348E-03	-6.348E-03	1.270E-02
1.107E-04	6.377E-03	-6.377E-03	1.275E-02
1.117E-04	6.406E-03	-6.406E-03	1.281E-02
1.127E-04	6.436E-03	-6.436E-03	1.287E-02
1.138E-04	6.465E-03	-6.465E-03	1.293E-02
1.148E-04	6.495E-03	-6.495E-03	1.299E-02
1.159E-04	6.525E-03	-6.525E-03	1.305E-02
1.169E-04	6.555E-03	-6.555E-03	1.311E-02
1.180E-04	6.585E-03	-6.585E-03	1.317E-02
1.191E-04	6.616E-03	-6.616E-03	1.323E-02
1.202E-04	6.646E-03	-6.646E-03	1.329E-02
1.213E-04	6.677E-03	-6.677E-03	1.335E-02
1.225E-04	6.707E-03	-6.707E-03	1.341E-02
1.236E-04	6.738E-03	-6.738E-03	1.348E-02
1.247E-04	6.769E-03	-6.769E-03	1.354E-02
1.259E-04	6.800E-03	-6.800E-03	1.360E-02
1.271E-04	6.832E-03	-6.832E-03	1.366E-02
1.282E-04	6.863E-03	-6.863E-03	1.373E-02
1.294E-04	6.895E-03	-6.895E-03	1.379E-02
1.306E-04	6.927E-03	-6.927E-03	1.385E-02
1.318E-04	6.958E-03	-6.958E-03	1.392E-02
1.330E-04	6.990E-03	-6.990E-03	1.398E-02
1.343E-04	7.023E-03	-7.023E-03	1.405E-02
1.355E-04	7.055E-03	-7.055E-03	1.411E-02
1.368E-04	7.087E-03	-7.087E-03	1.417E-02
1.380E-04	7.120E-03	-7.120E-03	1.424E-02
1.393E-04	7.153E-03	-7.153E-03	1.431E-02
1.406E-04	7.186E-03	-7.186E-03	1.437E-02
1.419E-04	7.219E-03	-7.219E-03	1.444E-02
1.432E-04	7.252E-03	-7.252E-03	1.450E-02
1.445E-04	7.286E-03	-7.286E-03	1.457E-02
1.459E-04	7.319E-03	-7.319E-03	1.464E-02
1.472E-04	7.353E-03	-7.353E-03	1.471E-02
1.486E-04	7.387E-03	-7.387E-03	1.477E-02
1.500E-04	7.421E-03	-7.421E-03	1.484E-02
1.514E-04	7.455E-03	-7.455E-03	1.491E-02
1.528E-04	7.489E-03	-7.489E-03	1.498E-02
1.542E-04	7.524E-03	-7.524E-03	1.505E-02
1.556E-04	7.558E-03	-7.558E-03	1.512E-02
1.570E-04	7.593E-03	-7.593E-03	1.519E-02
1.585E-04	7.628E-03	-7.628E-03	1.526E-02
1.600E-04	7.663E-03	-7.663E-03	1.533E-02
1.614E-04	7.698E-03	-7.698E-03	1.540E-02
1.629E-04	7.734E-03	-7.734E-03	1.547E-02
1.644E-04	7.770E-03	-7.770E-03	1.554E-02
1.660E-04	7.805E-03	-7.805E-03	1.561E-02
1.675E-04	7.841E-03	-7.841E-03	1.568E-02
1.690E-04	7.877E-03	-7.877E-03	1.575E-02
1.706E-04	7.914E-03	-7.914E-03	1.583E-02
1.722E-04	7.950E-03	-7.950E-03	1.590E-02
1.738E-04	7.987E-03	-7.987E-03	1.597E-02
1.754E-04	8.024E-03	-8.024E-03	1.605E-02
1.770E-04	8.060E-03	-8.060E-03	1.612E-02
1.786E-04	8.098E-03	-8.098E-03	1.620E-02
1.803E-04	8.135E-03	-8.135E-03	1.627E-02
1.820E-04	8.172E-03	-8.172E-03	1.634E-02
1.837E-04	8.210E-03	-8.210E-03	1.642E-02
1.854E-04	8.248E-03	-8.248E-03	1.650E-02
1.871E-04	8.286E-03	-8.286E-03	1.657E-02
1.888E-04	8.324E-03	-8.324E-03	1.665E-02
1.905E-04	8.362E-03	-8.362E-03	1.672E-02
1.923E-04	8.401E-03	-8.401E-03	1.680E-02
1.941E-04	8.440E-03	-8.440E-03	1.688E-02
1.959E-04	8.478E-03	-8.478E-03	1.696E-02
1.977E-04	8.517E-03	-8.517E-03	1.703E-02
1.995E-04	8.557E-03	-8.557E-03	1.711E-02
2.014E-04	8.596E-03	-8.596E-03	1.719E-02
2.032E-04	8.636E-03	-8.636E-03	1.727E-02
2.051E-04	8.676E-03	-8.676E-03	1.735E-02
2.070E-04	8.715E-03	-8.715E-03	1.743E-02
2.089E-04	8.756E-03	-8.756E-03	1.751E-02
2.109E-04	8.796E-03	-8.796E-03	1.759E-02
2.128E-04	8.836E-03	-8.836E-03	1.767E-02
2.148E-04	8.877E-03	-8.877E-03	1.775E-02
2.168E-04	8.918E-03	-8.918E-03	1.784E-02
2.188E-04	8.959E-03	-8.959E-03	1.792E-02
2.208E-04	9.000E-03	-9.000E-03	1.800E-02
2.228E-04	9.042E-03	-9.042E-03	1.808E-02
2.249E-04	9.084E-03	-9.084E-03	1.817E-02
2.270E-04	9.125E-03	-9.125E-03	1.825E-02
2.291E-04	9.168E-03	-9.168E-03	1.834E-02
2.312E-04	9.210E-03	-9.210E-03	1.842E-02
2.333E-04	9.252E-03	-9.252E-03	1.850E-02
2.355E-04	9.295E-03	-9.295E-03	1.859E-02
2.377E-04	9.338E-03	-9.338E-03	1.868E-02
2.399E-04	9.381E-03	-9.381E-03	1.876E-02
2.421E-04	9.424E-03	-9.424E-03	1.885E-02
2.443E-04	9.467E-03	-9.467E-03	1.893E-02
2.466E-04	9.511E-03	-9.511E-03	1.902E-02
2.489E-04	9.555E-03	-9.555E-03	1.911E-02
2.512E-04	9.599E-03	-9.599E-03	1.920E-02
2.535E-04	9.643E-03	-9.643E-03	1.929E-02
2.559E-04	9.688E-03	-9.688E-03	1.938E-02
2.582E-04	9.732E-03	-9.732E-03	1.946E-02
2.606E-04	9.777E-03	-9.777E-03	1.955E-02
2.630E-04	9.822E-03	-9.822E-03	1.964E-02
2.655E-04	9.867E-03	-9.867E-03	1.973E-02
2.679E-04	9.913E-03	-9.913E-03	1.983E-02
2.704E-04	9.959E-03	-9.959E-03	1.992E-02
2.729E-04	1.000E-02	-1.000E-02	2.001E-02
2.754E-04	1.005E-02	-1.005E-02	2.010E-02
2.780E-04	1.010E-02	-1.010E-02	2.019E-02
2.805E-04	1.014E-02	-1.014E-02	2.029E-02
2.831E-04	1.019E-02	-1.019E-02	2.038E-02
2.858E-04	1.024E-02	-1.024E-02	2.047E-02
2.884E-04	1.028E-02	-1.028E-02	2.057E-02
2.911E-04	1.033E-02	-1.033E-02	2.066E-02
2.938E-04	1.038E-02	-1.038E-02	2.076E-02
2.965E-04	1.043E-02	-1.043E-02	2.085E-02
2.992E-04	1.048E-02	-1.048E-02	2.095E-02
3.020E-04	1.052E-02	-1.052E-02	2.105E-02
3.048E-04	1.057E-02	-1.057E-02	2.114E-02
3.076E-04	1.062E-02	-1.062E-02	2.124E-02
3.105E-04	1.067E-02	-1.067E-02	2.134E-02
3.133E-04	1.072E-02	-1.072E-02	2.144E-02
3.162E-04	1.077E-02	-1.077E-02	2.154E-02
3.192E-04	1.082E-02	-1.082E-02	2.164E-02
3.221E-04	1.087E-02	-1.087E-02	2.174E-02
3.251E-04	1.092E-02	-1.092E-02	2.184E-02
3.281E-04	1.097E-02	-1.097E-02	2.194E-02
3.311E-04	1.102E-02	-1.102E-02	2.204E-02
3.342E-04	1.107E-02	-1.107E-02	2.214E-02
3.373E-04	1.112E-02	-1.112E-02	2.224E-02
3.404E-04	1.117E-02	-1.117E-02	2.234E-02
3.436E-04	1.122E-02	-1.122E-02	2.245E-02
3.467E-04	1.128E-02	-1.128E-02	2.255E-02
3.499E-04	1.133E-02	-1.133E-02	2.266E-02
3.532E-04	1.138E-02	-1.138E-02	2.276E-02
3.565E-04	1.143E-02	-1.143E-02	2.286E-02
3.597E-04	1.149E-02	-1.149E-02	2.297E-02
3.631E-04	1.154E-02	-1.154E-02	2.308E-02
3.664E-04	1.159E-02	-1.159E-02	2.318E-02
3.698E-04	1.164E-02	-1.164E-02	2.329E-02
3.733E-04	1.170E-02	-1.170E-02	2.340E-02
3.767E-04	1.175E-02	-1.175E-02	2.351E-02
3.802E-04	1.181E-02	-1.181E-02	2.361E-02
3.837E-04	1.186E-02	-1.186E-02	2.372E-02
3.873E-04	1.192E-02	-1.192E-02	2.383E-02
3.908E-04	1.197E-02	-1.197E-02	2.394E-02
3.945E-04	1.203E-02	-1.203E-02	2.405E-02
3.981E-04	1.208E-02	-1.208E-02	2.416E-02
4.018E-04	1.214E-02	-1.214E-02	2.428E-02
4.055E-04	1.219E-02	-1.219E-02	2.439E-02
4.093E-04	1.225E-02	-1.225E-02	2.450E-02
4.130E-04	1.231E-02	-1.231E-02	2.461E-02
4.169E-04	1.236E-02	-1.236E-02	2.473E-02
4.207E-04	1.242E-02	-1.242E-02	2.484E-02
4.246E-04	1.248E-02	-1.248E-02	2.496E-02
4.285E-04	1.254E-02	-1.254E-02	2.507E-02
4.325E-04	1.259E-02	-1.259E-02	2.519E-02
4.365E-04	1.265E-02	-1.265E-02	2.530E-02
4.406E-04	1.271E-02	-1.271E-02	2.542E-02
4.446E-04	1.277E-02	-1.277E-02	2.554E-02
4.487E-04	1.283E-02	-1.283E-02	2.565E-02
4.529E-04	1.289E-02	-1.289E-02	2.577E-02
4.571E-04	1.295E-02	-1.295E-02	2.589E-02
4.613E-04	1.301E-02	-1.301E-02	2.601E-02
4.656E-04	1.307E-02	-1.307E-02	2.613E-02
4.699E-04	1.313E-02	-1.313E-02	2.625E-02
4.742E-04	1.319E-02	-1.319E-02	2.637E-02
4.786E-04	1.325E-02	-1.325E-02	2.650E-02
4.831E-04	1.331E-02	-1.331E-02	2.662E-02
4.875E-04	1.337E-02	-1.337E-02	2.674E-02
4.920E-04	1.343E-02	-1.343E-02	2.686E-02
4.966E-04	1.349E-02	-1.349E-02	2.699E-02
5.012E-04	1.356E-02	-1.356E-02	2.711E-02
5.058E-04	1.362E-02	-1.362E-02	2.724E-02
5.105E-04	1.368E-02	-1.368E-02	2.736E-02
5.152E-04	1.375E-02	-1.375E-02	2.749E-02
5.200E-04	1.381E-02	-1.381E-02	2.762E-02
5.248E-04	1.387E-02	-1.387E-02	2.775E-02
5.297E-04	1.394E-02	-1.394E-02	2.787E-02
5.346E-04	1.400E-02	-1.400E-02	2.800E-02
5.395E-04	1.407E-02	-1.407E-02	2.813E-02
5.445E-04	1.413E-02	-1.413E-02	2.826E-02
5.495E-04	1.420E-02	-1.420E-02	2.839E-02
5.546E-04	1.426E-02	-1.426E-02	2.852E-02
5.598E-04	1.433E-02	-1.433E-02	2.866E-02
5.649E-04	1.439E-02	-1.439E-02	2.879E-02
5.702E-04	1.446E-02	-1.446E-02	2.892E-02
5.754E-04	1.453E-02	-1.453E-02	2.905E-02
5.808E-04	1.459E-02	-1.459E-02	2.919E-02
5.861E-04	1.466E-02	-1.466E-02	2.932E-02
5.916E-04	1.473E-02	-1.473E-02	2.946E-02
5.970E-04	1.480E-02	-1.480E-02	2.960E-02
6.026E-04	1.487E-02	-1.487E-02	2.973E-02
6.081E-04	1.494E-02	-1.494E-02	2.987E-02
6.138E-04	1.500E-02	-1.500E-02	3.001E-02
6.194E-04	1.507E-02	-1.507E-02	3.015E-02
6.252E-04	1.514E-02	-1.514E-02	3.029E-02
6.310E-04	1.521E-02	-1.521E-02	3.043E-02
6.368E-04	1.528E-02	-1.528E-02	3.057E-02
6.427E-04	1.535E-02	-1.535E-02	3.071E-02
6.486E-04	1.543E-02	-1.543E-02	3.085E-02
6.546E-04	1.550E-02	-1.550E-02	3.099E-02
6.607E-04	1.557E-02	-1.557E-02	3.114E-02
6.668E-04	1.564E-02	-1.564E-02	3.128E-02
6.730E-04	1.571E-02	-1.571E-02	3.143E-02
6.792E-04	1.579E-02	-1.579E-02	3.157E-02
6.855E-04	1.586E-02	-1.586E-02	3.172E-02
6.918E-04	1.593E-02	-1.593E-02	3.186E-02
6.982E-04	1.601E-02	-1.601E-02	3.201E-02
7.047E-04	1.608E-02	-1.608E-02	3.216E-02
7.112E-04	1.615E-02	-1.615E-02	3.231E-02
7.178E-04	1.623E-02	-1.623E-02	3.246E-02
7.244E-04	1.630E-02	-1.630E-02	3.261E-02
7.311E-04	1.638E-02	-1.638E-02	3.276E-02
7.379E-04	1.646E-02	-1.646E-02	3.291E-02
7.447E-04	1.653E-02	-1.653E-02	3.306E-02
7.516E-04	1.661E-02	-1.661E-02	3.322E-02
7.586E-04	1.669E-02	-1.669E-02	3.337E-02
7.656E-04	1.676E-02	-1.676E-02	3.353E-02
7.727E-04	1.684E-02	-1.684E-02	3.368E-02
7.798E-04	1.692E-02	-1.692E-02	3.384E-02
7.870E-04	1.700E-02	-1.700E-02	3.399E-02
7.943E-04	1.708E-02	-1.708E-02	3.415E-02
8.017E-04	1.715E-02	-1.715E-02	3.431E-02
8.091E-04	1.723E-02	-1.723E-02	3.447E-02
8.166E-04	1.731E-02	-1.731E-02	3.463E-02
8.241E-04	1.739E-02	-1.739E-02	3.479E-02
8.318E-04	1.747E-02	-1.747E-02	3.495E-02
8.395E-04	1.756E-02	-1.756E-02	3.511E-02
8.472E-04	1.764E-02	-1.764E-02	3.527E-02
8.551E-04	1.772E-02	-1.772E-02	3.544E-02
8.630E-04	1.780E-02	-1.780E-02	3.560E-02
8.710E-04	1.788E-02	-1.788E-02	3.577E-02
8.790E-04	1.797E-02	-1.797E-02	3.593E-02
8.872E-04	1.805E-02	-1.805E-02	3.610E-02
8.954E-04	1.813E-02	-1.813E-02	3.627E-02
9.036E-04	1.822E-02	-1.822E-02	3.643E-02
9.120E-04	1.830E-02	-1.830E-02	3.660E-02
9.204E-04	1.839E-02	-1.839E-02	3.677E-02
9.290E-04	1.847E-02	-1.847E-02	3.694E-02
9.376E-04	1.856E-02	-1.856E-02	3.712E-02
9.462E-04	1.864E-02	-1.864E-02	3.729E-02
9.550E-04	1.873E-02	-1.873E-02	3.746E-02
9.638E-04	1.882E-02	-1.882E-02	3.763E-02
9.727E-04	1.890E-02	-1.890E-02	3.781E-02
9.817E-04	1.899E-02	-1.899E-02	3.798E-02
9.908E-04	1.908E-02	-1.908E-02	3.816E-02
1.000E-03	1.917E-02	-1.917E-02	3.834E-02
1.009E-03	1.926E-02	-1.926E-02	3.852E-02
1.019E-03	1.935E-02	-1.935E-02	3.869E-02
1.028E-03	1.944E-02	-1.944E-02	3.887E-02
1.038E-03	1.953E-02	-1.953E-02	3.905E-02
1.047E-03	1.962E-02	-1.962E-02	3.924E-02
1.057E-03	1.971E-02	-1.971E-02	3.942E-02
1.067E-03	1.980E-02	-1.980E-02	3.960E-02
1.076E-03	1.989E-02	-1.989E-02	3.978E-02
1.086E-03	1.998E-02	-1.998E-02	3.997E-02
1.096E-03	2.008E-02	-2.008E-02	4.016E-02
1.107E-03	2.017E-02	-2.017E-02	4.034E-02
1.117E-03	2.026E-02	-2.026E-02	4.053E-02
1.127E-03	2.036E-02	-2.036E-02	4.072E-02
1.138E-03	2.045E-02	-2.045E-02	4.091E-02
1.148E-03	2.055E-02	-2.055E-02	4.110E-02
1.159E-03	2.064E-02	-2.064E-02	4.129E-02
1.169E-03	2.074E-02	-2.074E-02	4.148E-02
1.180E-03	2.084E-02	-2.084E-02	4.167E-02
1.191E-03	2.093E-02	-2.093E-02	4.187E-02
1.202E-03	2.103E-02	-2.103E-02	4.206E-02
1.213E-03	2.113E-02	-2.113E-02	4.226E-02
1.225E-03	2.123E-02	-2.123E-02	4.245E-02
1.236E-03	2.133E-02	-2.133E-02	4.265E-02
1.247E-03	2.142E-02	-2.142E-02	4.285E-02
1.259E-03	2.152E-02	-2.152E-02	4.305E-02
1.271E-03	2.162E-02	-2.162E-02	4.325E-02
1.282E-03	2.172E-02	-2.172E-02	4.345E-02
1.294E-03	2.183E-02	-2.183E-02	4.365E-02
1.306E-03	2.193E-02	-2.193E-02	4.385E-02
1.318E-03	2.203E-02	-2.203E-02	4.406E-02
1.330E-03	2.213E-02	-2.213E-02	4.426E-02
1.343E-03	2.223E-02	-2.223E-02	4.447E-02
1.355E-03	2.234E-02	-2.234E-02	4.468E-02
1.368E-03	2.244E-02	-2.244E-02	4.488E-02
1.380E-03	2.255E-02	-2.255E-02	4.509E-02
1.393E-03	2.265E-02	-2.265E-02	4.530E-02
1.406E-03	2.276E-02	-2.276E-02	4.551E-02
1.419E-03	2.286E-02	-2.286E-02	4.573E-02
1.432E-03	2.297E-02	-2.297E-02	4.594E-02
1.445E-03	2.308E-02	-2.308E-02	4.615E-02
1.459E-03	2.318E-02	-2.318E-02	4.637E-02
1.472E-03	2.329E-02	-2.329E-02	4.658E-02
1.486E-03	2.340E-02	-2.340E-02	4.680E-02
1.500E-03	2.351E-02	-2.351E-02	4.702E-02
1.514E-03	2.362E-02	-2.362E-02	4.724E-02
1.528E-03	2.373E-02	-2.373E-02	4.746E-02
1.542E-03	2.384E-02	-2.384E-02	4.768E-02
1.556E-03	2.395E-02	-2.395E-02	4.790E-02
1.570E-03	2.406E-02	-2.406E-02	4.813E-02
1.585E-03	2.418E-02	-2.418E-02	4.835E-02
1.600E-03	2.429E-02	-2.429E-02	4.858E-02
1.614E-03	2.440E-02	-2.440E-02	4.880E-02
1.629E-03	2.451E-02	-2.451E-02	4.903E-02
1.644E-03	2.463E-02	-2.463E-02	4.926E-02
1.660E-03	2.474E-02	-2.474E-02	4.949E-02
1.675E-03	2.486E-02	-2.486E-02	4.972E-02
1.690E-03	2.498E-02	-2.498E-02	4.995E-02
1.706E-03	2.509E-02	-2.509E-02	5.018E-02
1.722E-03	2.521E-02	-2.521E-02	5.042E-02
1.738E-03	2.533E-02	-2.533E-02	5.065E-02
1.754E-03	2.545E-02	-2.545E-02	5.089E-02
1.770E-03	2.556E-02	-2.556E-02	5.113E-02
1.786E-03	2.568E-02	-2.568E-02	5.137E-02
1.803E-03	2.580E-02	-2.580E-02	5.161E-02
1.820E-03	2.592E-02	-2.592E-02	5.185E-02
1.837E-03	2.605E-02	-2.605E-02	5.209E-02
1.854E-03	2.617E-02	-2.617E-02	5.233E-02
1.871E-03	2.629E-02	-2.629E-02	5.258E-02
1.888E-03	2.641E-02	-2.641E-02	5.282E-02
1.905E-03	2.654E-02	-2.654E-02	5.307E-02
1.923E-03	2.666E-02	-2.666E-02	5.332E-02
1.941E-03	2.678E-02	-2.678E-02	5.357E-02
1.959E-03	2.691E-02	-2.691E-02	5.382E-02
1.977E-03	2.704E-02	-2.704E-02	5.407E-02
1.995E-03	2.716E-02	-2.716E-02	5.432E-02
2.014E-03	2.729E-02	-2.729E-02	5.458E-02
2.032E-03	2.742E-02	-2.742E-02	5.483E-02
2.051E-03	2.754E-02	-2.754E-02	5.509E-02
2.070E-03	2.767E-02	-2.767E-02	5.535E-02
2.089E-03	2.780E-02	-2.780E-02	5.561E-02
2.109E-03	2.793E-02	-2.793E-02	5.587E-02
2.128E-03	2.806E-02	-2.806E-02	5.613E-02
2.148E-03	2.820E-02	-2.820E-02	5.639E-02
