Q2	epsilon	error	sigma/sigma_D
0.0050619317531036346	0.8912424184453558	0.028199546095637785	0.9940000000000001
0.010123863506207269	0.7900317836985661	0.02178590369941077	0.992
0.012460139699947408	0.7456676358973257	0.02145857404395735	0.9740000000000001
0.015185795259310905	0.6956680666256329	0.02242346092823318	0.977
0.017911450818674398	0.6474735866856115	0.021513056500646298	0.977
0.020637106378037895	0.6009966952288076	0.02081249624624591	0.98
0.023752141303024745	0.5498784495134202	0.021694874970831245	0.987
0.026867176228011595	0.5007822788992026	0.021736835096213984	0.965
0.029592831787375096	0.4593979933977498	0.021577173123465455	0.956
0.007398207946843774	0.88962145001953	0.02754275948411851	0.997
0.01440703652806419	0.7914635546699658	0.021188308096683886	0.981
0.017911450818674398	0.7445749331175834	0.020984756372185977	0.97
0.021805244474907965	0.6941022270336887	0.021169789795838785	0.98
0.02569903813114153	0.6452735323790412	0.02051142120868274	0.9640000000000001
0.029592831787375096	0.5980226612173255	0.02028754297592491	0.9690000000000001
0.033486625443608656	0.5522867510763252	0.020492623062946334	0.963
0.037769798465465576	0.5036558193461022	0.021754594916936515	0.966
0.0420529714873225	0.4567103440196831	0.021736835096213984	0.965
0.008955725409337199	0.89087310775442	0.027326353580380974	0.982
0.017911450818674398	0.7879977622011026	0.022760395427144937	0.9670000000000001
0.021805244474907965	0.7451156574070216	0.022336373922371554	0.972
0.026477796862388242	0.6950712890101721	0.023170507115727962	0.9590000000000001
0.036212281002972156	0.5955500085644393	0.02212781055594972	0.96
0.04594676514355606	0.5020664829933705	0.022041097976280583	0.955
0.012070760334324051	0.8877699523211086	0.027225906780123963	0.975
0.02336276193740139	0.7879893066287329	0.023536023453421352	0.981
0.02881407305612838	0.7415580996129076	0.022726416347501867	0.965
0.03426538417485537	0.6962277278715155	0.022249395497406222	0.9670000000000001
0.040495454024829076	0.6457402524758957	0.021868013169924698	0.945
0.046336144509179424	0.5996569957790598	0.021078035961635516	0.953
0.059575042940373545	0.4995295289988559	0.0212409415987145	0.9620000000000001
0.06580511279034724	0.4544200812026762	0.02087386883162774	0.9640000000000001
0.014017657162440833	0.8899960791565384	0.02696923432357693	0.9570000000000001
0.02141586510928461	0.8339303925590134	0.022093112048781175	0.958
0.02764593495925831	0.7877687509721788	0.022658517162427026	0.961
0.033876004809232016	0.7425573781707554	0.021577173123465455	0.956
0.040495454024829076	0.6955492200850797	0.02293926764306132	0.945
0.04789366197167285	0.6442486940259017	0.023472230401050516	0.9420000000000001
0.054902490552893264	0.596836349741885	0.02188530100318476	0.946
0.062300698499737045	0.5480246712084416	0.02312086503572044	0.956
0.06969890644658082	0.5004605207792777	0.02185072996492337	0.9440000000000001
0.07709711439342458	0.4541225535040696	0.02252295717706714	0.953
0.017132692087427685	0.8890739669972739	0.028030868698632944	0.982
0.04906180006854292	0.6936849994952533	0.021096122866536404	0.9540000000000001
0.0661944921559706	0.5949609533363687	0.021833451399171866	0.943
0.08371656360902165	0.4983954523306034	0.021470910553583886	0.95
