G_En	Q2	error
0.04632	0.495	0.007040859322554315
0.0526	0.5	0.00420119030752
0.0454	1.0	0.006545991139621257
0.0236	1.72	0.0031064449134018133
0.0208	2.48	0.0030610455730027933
0.0147	3.41	0.0024413111231467405
0.066	0.255	0.037107950630558946
0.07	0.16	0.10594810050208546
0.066	0.21	0.015524174696260024
0.037000000000000005	0.12	0.012083045973594574
0.052000000000000005	0.15	0.012083045973594574
0.057999999999999996	0.18	0.015811388300841896
0.07200000000000001	0.29	0.012651580928879996
0.077	0.34	0.011792476415070755
0.051	0.4	0.014424371736751658
0.0334	0.35	0.00432781700167648
0.059000000000000004	0.29	0.014372282351804811
0.07400000000000001	0.34	0.013200378782444086
0.049	0.42	0.01409618742781182
0.0484	0.67	0.0071
0.0552	0.3	0.006269968101992227
0.0477	0.59	0.007128990110808122
0.0468	0.79	0.009168560410446124
0.035	0.31	0.013000000000000001
0.052000000000000005	0.67	0.012083045973594574
0.01573	0.015711068023536813	0.00813
0.01845	0.026668592751543686	0.008320000000000001
0.01755	0.03847340697914699	0.00813
0.02316	0.04860622621076359	0.008140000000000001
0.01431	0.060654791921247106	0.00778
0.019190000000000002	0.07154612215709802	0.0072299999999999994
0.02715	0.08234283320710245	0.00796
0.02426	0.09273653661368671	0.00867
0.03493	0.10050621247533517	0.00958
0.03096	0.11093262374863178	0.010490000000000001
0.0447	0.13480157886134353	0.00614
0.02423	0.02207508437528495	0.00687
0.026760000000000003	0.03083027941132612	0.00614
0.02713	0.03965166893952326	0.00633
0.033639999999999996	0.06006176714740274	0.00614
0.03166	0.08220460353230616	0.0056
0.03493	0.10492255324023526	0.00615
0.04434	0.14290923601235306	0.00614
0.03712	0.1526994014022211	0.00524
0.037489999999999996	0.17550612960551237	0.00632
0.03225	0.18155552742983683	0.0047
0.044160000000000005	0.1289297380277433	0.00633
0.045939999999999995	0.08397472212842992	0.00542
0.04415	0.1075839612042709	0.00506
0.04092	0.16067973150067177	0.004520000000000001
0.03804	0.1909465789699409	0.00488
0.040760000000000005	0.21588944237304192	0.0039700000000000004
0.03771	0.2505784712976955	0.0047
0.03864	0.30575508492398756	0.0041600000000000005
0.047689999999999996	0.3363922321699645	0.00579
0.04589	0.3651537390117337	0.006679999999999999
0.03266	0.2787037322560361	0.0038
0.03715	0.22409717002101665	0.0039700000000000004
0.04096	0.24238203565132382	0.00543
0.040060000000000005	0.2674354827942618	0.0039700000000000004
0.03375	0.2897114869222084	0.00343
0.03828	0.31459866907602524	0.00343
0.03559	0.358109087528876	0.0047
0.03635	0.45083004896793777	0.00488
0.038560000000000004	0.5420347671572622	0.00542
0.04963	0.6256068710216376	0.006690000000000001
0.0446	0.7023118803938794	0.00759
0.03814	0.4044031790665681	0.004520000000000001
